name,id,city,state,lat,lon,score,rank,rank2,globalScore,country
Roseview House,125194804,San Jose, California,37.3302,-121.89728,400809.66,1.0,97.81724548339844,1.0,US
"Hampton Inn BY Hilton Santa Cruz West, CA",21328006,Santa Cruz, California,36.96106339,-122.0489197,175204.38,11.810301,49.023651123046875,30.0,US
Super 8 BY Wyndham Santa Cruz/Beach Boardwalk East,1812805,Santa Cruz, California,36.96659,-122.01833,175204.36,11.810301,6.002490997314453,30.0,US
La Quinta Inn & Suites BY Wyndham Santa Cruz,39120,Santa Cruz, California,36.96436,-122.02428,175204.36,11.810301,5.927702903747559,30.0,US
Comfort Inn Santa Cruz,43582,Santa Cruz, California,36.98495,-122.02322,175204.36,11.810304,66.4056625366211,30.0,US
Bay Front Inn - Downtown Santa Cruz,4325605,Santa Cruz, California,36.9653,-122.02569,175204.36,11.898327,6.308852672576904,30.0,US
Fairfield Inn & Suites BY Marriott Santa Cruz,43966504,Santa Cruz, California,36.960021,-122.058969,175204.36,11.451774,10.176486015319824,30.0,US
Newport Beach Chic I & Ii,86220506,Newport Beach, California,33.6176,-117.93305,400948.38,0.5,97.81620025634766,30.0,US
Newport Beach Simplicity I & Ii,86227506,Newport Beach, California,33.61531,-117.93269,400948.38,0.5,97.81620025634766,30.0,US
Perfect Newport Beach Location With SPA I & Ii,86205706,Newport Beach, California,33.61413,-117.93191,400948.38,0.5,97.81620025634766,30.0,US
Newport Temptation,86199806,Newport Beach, California,33.61878,-117.93762,400948.3,0.5,97.81620025634766,30.0,US
Newport Pacific I & Ii,86209706,Newport Beach, California,33.62137,-117.93941,400948.3,0.5,97.81620025634766,1.0,US
The Rivprime Water Front,165741304,Newport Beach, California,33.61884,-117.93518,400948.28,0.5,97.81620025634766,30.0,US
"Oceanfront Balboa Boardwalk Units I, Ii, & Iii",86203606,Newport Beach, California,33.6011,-117.89851,400948.28,0.5,97.81620025634766,30.0,US
NB Breaking Waves Beauty I & Ii - Slp13891 & Slp13892,86200706,Newport Beach, California,33.60965,-117.92968,400948.28,0.5,97.81620025634766,1.0,US
Modern Luxury Compound,86219306,Newport Beach, California,33.61285,-117.93113,400948.28,0.5,97.81620025634766,1.0,US
