name,id,city,state,lat,lon,score,rank,rank2,globalScore,country
Orlando Intl Airport (MCO) ,MCO,Orlando,Florida,28.43113982264317,-81.3092428479283,388071.66,56.13621,86.16417694091797,78.25274,US
Miami Intl Airport (MIA) ,MIA,Miami,Florida,25.79507559880528,-80.28296084528998,387476.03,45.91389,85.56851196289062,76.66467,US
Hollywood Intl Airport (FLL) ,FLL,Fort Lauderdale,Florida,26.076856242450617,-80.1512378481894,385823.97,57.068672,83.93750762939453,75.521675,US
Hartsfield-Jackson Atlanta Intl Airport (ATL) ,ATL,Atlanta,Georgia,33.64064398331116,-84.42246632355115,385106.66,42.474194,83.23897552490234,76.96165,US
Phoenix Sky Harbor Intl Airport (PHX) ,PHX,Phoenix,Arizona,33.43546779687481,-112.00379514445629,384922.3,47.539833,83.06039428710938,74.87271,US
Tampa Intl Airport (TPA) ,TPA,Tampa,Florida,27.980050150536673,-82.53468498015411,384829.53,46.03609,82.97066497802734,75.06991,US
O'Hare Intl Airport (ORD) ,ORD,Chicago,Illinois,41.9704762962616,-87.9083988449066,384373.72,46.816677,82.53114318847656,76.78653,US
Seattle-Tacoma Intl Airport (SEA) ,SEA,Seattle,Washington,47.44927062064107,-122.31113399152126,384369.6,41.146538,82.52716827392578,74.76679,US
John F Kennedy Intl Airport (JFK) ,JFK,Jamaica,New York,40.639380746613675,-73.77204034876185,383816.5,51.016113,81.9969711303711,77.9219,US
Los Angeles Intl Airport (LAX) ,LAX,Los Angeles,California,33.94310840336072,-118.41060920960915,383285.62,58.362736,81.49127960205078,76.51697,US
